feature1,feature2,feature3,feature4,feature5,purchase_frequency,customer_lifetime_value,months_active,target,protected_attribute
-0.15638544803204035,1.3057581417791086,-0.7584667666082666,0.3677376385823716,-0.4091708872007314,3.7233003947083296,1041.5908005892989,28.571069732123608,0,1
-0.1541416205390201,-0.21927930790555303,-0.9376552918927351,0.17849280192879036,0.35400101737550316,4.052108498238494,790.0963125653817,26.218674800274183,1,0
-0.49846843800148966,-0.31458536532329556,-0.839594616472311,0.13157665955316442,-0.6632394872225326,11.179385613446161,980.8535505077002,40.6711513242756,1,1
-0.4109263923124712,-0.3232585806561624,-0.289893392271945,1.025443264887588,0.21710621462792273,3.7785284843556317,563.7161008544841,23.44079375857057,1,1
-0.7106812913223421,-1.1215191061673504,0.04390584516527628,0.7379578962478167,0.14676676686421827,2.5048813327960247,636.2516233949289,24.39556835070265,0,0
-1.2614800424501564,1.322569641892452,-1.400008821918271,0.10612557025789461,0.4726400466656669,6.177792584096181,853.4733182518278,36.12828198803573,0,0
-0.35109291271592996,1.2178747843454185,1.2684910618466398,0.07654027126843825,3.4828700119401703,4.015996205358834,912.9309662878646,27.260218953712627,1,0
-2.2725261656353126,1.2603140840098908,1.4672739516217705,-1.0164659427870457,0.033028641420333474,4.2043084954719125,695.2339714548882,23.68712459961203,0,0
-0.6095008513643125,-0.3071432755417531,-0.07572301306298447,-1.532009130312594,1.7428622546571568,6.360000091500998,1221.9567107135367,21.753475030814982,0,1
0.3873768129027737,0.5208347348555981,0.3807286016869037,0.8041138960311427,-1.503265568144225,0.9221225878772668,977.1309255855435,22.085721495315912,0,1
-0.10315057672910986,0.08352865791920559,-0.23741167209063394,0.8883960969333881,-0.4913122272084598,4.316358441468583,1091.8447361283588,25.973090662776727,1,0
-0.9331022331126428,0.41025614998711996,-0.47146605764115623,0.6364852392534195,-0.6344502185653265,1.4210359892194422,666.4679700657674,22.45330355350717,0,0
0.878625585372109,1.0213251390388538,-0.39220814268562326,0.9802594670923332,0.18303330511018076,5.822153864213083,425.29637507292955,35.19730882728143,0,0
-0.6823588896381807,-1.6267889977075092,0.8489022556082868,-0.18518054711512735,-0.07840145652264068,6.76369363409362,1619.8886759448255,18.655470617044887,1,0
-0.9359567227577913,-1.756123266613419,-1.6775318277333027,0.6752517306939729,1.101609333741524,11.831293718598547,1047.9393290085573,12.003607475082493,0,0
0.07088769735187932,2.46526899971603,-0.27982601183847755,0.03206928249414853,-0.5629046768714979,2.299449286100182,1218.0635000032241,3.576139664835523,0,0
-0.3574920787199897,-0.2707399486570938,1.7209785127817492,-1.067671896885857,0.3455250803929265,3.512420696300603,956.5216938855515,23.385229517709956,1,0
0.11721844192379224,-1.4500063405446062,0.8554241965619304,-1.68481847661936,0.29272868675701413,4.395726530099625,1460.0583094558092,10.742776502803753,1,0
-0.9238580210695135,0.38308482682846134,-0.4831800584017258,0.24153214410291526,-1.6095262615458,-0.6651813275996385,1389.2368689848074,21.124256824351914,0,0
0.46874950493911927,1.560474429248529,-0.23689300317313153,-0.521121536196944,1.035642547705843,5.406989254777469,1623.2915388496963,34.61174080631858,1,0
-1.579210228283952,1.0993301166818599,0.42485753082200983,1.8447986384457757,1.5683819765071845,6.162297989186018,1142.331099463874,25.189416350975524,0,0
